"法人番号","商号または名称","商号または名称（カナ）","商号または名称（英字）","登記記録の閉鎖等年月日","登記記録の閉鎖等の事由","登記住所","郵便番号","都道府県","都道府県コード","市区町村（郡）","市区町村コード","番地以下","組織種別","処理区分","訂正区分","状態","代表者名称","資本金","従業員数","企業規模詳細(男性)","企業規模詳細(女性)","事業概要","WebサイトURL","創業年","事業種目","設立年月日","全省庁統一資格-資格等級","全省庁統一資格-営業品目","更新年月日","キー情報","データ品質","データ品質-代表者名称","データ品質-資本金","データ品質-従業員数","データ品質-企業規模詳細(男性)","データ品質-企業規模詳細(女性)","データ品質-事業概要","データ品質-WebサイトURL","データ品質-創業年","データ品質-事業種目","データ品質-設立年月日","データ品質-全省庁統一資格-資格等級","データ品質-全省庁統一資格-営業品目","出典元","出典元-代表者名称","出典元-資本金","出典元-従業員数","出典元-企業規模詳細(男性)","出典元-企業規模詳細(女性)","出典元-事業概要","出典元-WebサイトURL","出典元-創業年","出典元-事業種目","出典元-設立年月日","出典元-全省庁統一資格-資格等級","出典元-全省庁統一資格-営業品目","データ取込頻度","データ取込頻度-代表者名称","データ取込頻度-資本金","データ取込頻度-従業員数","データ取込頻度-企業規模詳細(男性)","データ取込頻度-企業規模詳細(女性)","データ取込頻度-事業概要","データ取込頻度-WebサイトURL","データ取込頻度-創業年","データ取込頻度-事業種目","データ取込頻度-設立年月日","データ取込頻度-全省庁統一資格-資格等級","データ取込頻度-全省庁統一資格-営業品目","最終取得日","最終取得日-代表者名称","最終取得日-資本金","最終取得日-従業員数","最終取得日-企業規模詳細(男性)","最終取得日-企業規模詳細(女性)","最終取得日-事業概要","最終取得日-WebサイトURL","最終取得日-創業年","最終取得日-事業種目","最終取得日-設立年月日","最終取得日-全省庁統一資格-資格等級","最終取得日-全省庁統一資格-営業品目","最終更新日","最終更新日-代表者名称","最終更新日-資本金","最終更新日-従業員数","最終更新日-企業規模詳細(男性)","最終更新日-企業規模詳細(女性)","最終更新日-事業概要","最終更新日-WebサイトURL","最終更新日-創業年","最終更新日-事業種目","最終更新日-設立年月日","最終更新日-全省庁統一資格-資格等級","最終更新日-全省庁統一資格-営業品目"
"1430001005417","株式会社啓明電気","","","","","北海道札幌市中央区南十四条西１１丁目２番１２号","0640914","北海道","01","札幌市中央区","101","南十四条西１１丁目２番１２号","301","12","0","","","","","","","","","","","","","","2017-03-15","1430001005417","政府連携データ","","","","","","","","","","","","","法人番号公表サイト","","","","","","","","","","","","","日次","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","",""
"1430001005846","弘北電気工事株式会社","コウホクデンキコウジ","","","","北海道札幌市西区平和三条７丁目３番１８号","0630023","北海道","01","札幌市西区","107","平和三条７丁目３番１８号","301","01","1","","","","","","","","","","","","","","2018-11-02","1430001005846","政府連携データ","","","","","","","","","","","","","法人番号公表サイト","","","","","","","","","","","","","日次","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","",""
"1430001006605","坂本電設株式会社","サカモトデンセツ","","","","北海道札幌市中央区南二十九条西１１丁目５番１７号","0640929","北海道","01","札幌市中央区","101","南二十九条西１１丁目５番１７号","301","01","1","","","","","","","","","","","","","","2018-05-24","1430001006605","政府連携データ","","","","","","","","","","","","","法人番号公表サイト","","","","","","","","","","","","","日次","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","",""
"1430001006729","札光設備株式会社","","","2025-01-24","21","北海道札幌市西区西町南５丁目３番１５－７０１号","0630062","北海道","01","札幌市西区","107","西町南５丁目３番１５－７０１号","301","21","0","閉鎖","","","","","","","","","","","","","2025-01-27","1430001006729","政府連携データ","","","","","","","","","","","","","法人番号公表サイト","","","","","","","","","","","","","日次","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","",""
"1430001007090","親栄電気工事株式会社","シンエイデンキコウジ","","","","北海道札幌市白石区東札幌二条５丁目２番２６号","0030002","北海道","01","札幌市白石区","104","東札幌二条５丁目２番２６号","301","01","1","","代表取締役　田中　忠行","","","","","","","","","1962-04-20","|C|C|","216|224|229|302|303|308|309|315","2019-06-19","1430001007090","政府連携データ","政府連携データ","","","","","","","","","政府連携データ","政府連携データ","政府連携データ","法人番号公表サイト","GEPS","","","","","","","","","GEPS","GEPS","GEPS","日次","日次","","","","","","","","","日次","日次","日次","2025-12-05","2026-03-12","","","","","","","","","2026-03-12","2026-03-12","2026-03-12","2025-12-05","2026-03-12","","","","","","","","","2026-03-12","2026-03-12","2026-03-12"
"1430001007520","新拓空調設備株式会社","シンタククウチョウセツビ","","","","北海道札幌市白石区東札幌四条２丁目１番３６号","0030004","北海道","01","札幌市白石区","104","東札幌四条２丁目１番３６号","301","01","1","","","","","","","","","","","","","","2020-02-18","1430001007520","政府連携データ","","","","","","","","","","","","","法人番号公表サイト","","","","","","","","","","","","","日次","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","",""
"1430001007660","株式会社芝ビルサービス","シバビルサービス","","","","北海道札幌市中央区北五条西６丁目１番地２３北海道通信ビル８階","0600005","北海道","01","札幌市中央区","101","北五条西６丁目１番地２３北海道通信ビル８階","301","01","1","","","","3","","","不動産管理業","","","K:不動産業、物品賃貸業","","","","2020-10-14","1430001007660","政府連携データ","政府連携データ","","","政府連携データ","政府連携データ","政府連携データ","政府連携データ","政府連携データ","政府連携データ","","","","法人番号公表サイト","職場情報総合サイト","","","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","","","","日次","日次","","","日次","日次","日次","日次","日次","日次","","","","2025-12-05","2026-02-13","","","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","","","","2025-12-05","2026-02-13","","","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","","",""
"1430001007751","株式会社下山電設機工","シモヤマデンセツキコウ","","","","北海道札幌市北区新琴似町７８８番地１０","0010915","北海道","01","札幌市北区","102","新琴似町７８８番地１０","301","01","1","","","","","","","","","","","","","","2018-05-15","1430001007751","政府連携データ","","","","","","","","","","","","","法人番号公表サイト","","","","","","","","","","","","","日次","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","",""
"1430001008122","新山一電気株式会社","","","2018-02-20","01","北海道札幌市東区北二十七条東１３丁目４番２０号","0650027","北海道","01","札幌市東区","103","北二十七条東１３丁目４番２０号","301","21","0","閉鎖","","","","","","","","","","","","","2018-02-22","1430001008122","政府連携データ","","","","","","","","","","","","","法人番号公表サイト","","","","","","","","","","","","","日次","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","",""
"1430001008931","セブン電工株式会社","セブンデンコウ","","","","北海道札幌市手稲区手稲本町二条４丁目８番２７号","0060022","北海道","01","札幌市手稲区","109","手稲本町二条４丁目８番２７号","301","01","1","","","","","","","","","","","","","","2018-12-12","1430001008931","政府連携データ","","","","","","","","","","","","","法人番号公表サイト","","","","","","","","","","","","","日次","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","",""
"1430001010268","株式会社田中建築設備事務所","タナカケンチクセツビジムショ","","","","北海道札幌市中央区南一条西７丁目２０番１号","0600061","北海道","01","札幌市中央区","101","南一条西７丁目２０番１号","301","01","1","","","","","","","","","","","","","","2025-01-10","1430001010268","政府連携データ","","","","","","","","","","","","","法人番号公表サイト","","","","","","","","","","","","","日次","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","",""
"1430001010284","株式会社田中電気木工製作所","タナカデンキモッコウセイサクショ","","","","北海道札幌市東区北三十二条東１丁目１番８号","0650032","北海道","01","札幌市東区","103","北三十二条東１丁目１番８号","301","01","1","","","","","","","","","","","","","","2020-07-13","1430001010284","政府連携データ","","","","","","","","","","","","","法人番号公表サイト","","","","","","","","","","","","","日次","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","",""
"1430001011126","株式会社同栄設備","","","","","北海道札幌市豊平区月寒中央通７丁目５番１８号","0620020","北海道","01","札幌市豊平区","105","月寒中央通７丁目５番１８号","301","01","0","","","","","","","","","","","","","","2015-10-30","1430001011126","政府連携データ","","","","","","","","","","","","","法人番号公表サイト","","","","","","","","","","","","","日次","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","",""
"1430001011175","ドゥウェル株式会社","ドゥウェル","","","","北海道札幌市東区北九条東１２丁目１番１号","0650009","北海道","01","札幌市東区","103","北九条東１２丁目１番１号","301","12","0","","代表取締役　進藤義宏","","85","","","","","","G:情報通信業","","","","2022-06-22","1430001011175","政府連携データ","政府連携データ","","","政府連携データ","政府連携データ","政府連携データ","政府連携データ","政府連携データ","政府連携データ","","","","法人番号公表サイト","職場情報総合サイト","","","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","","","","日次","日次","","","日次","日次","日次","日次","日次","日次","","","","2025-12-05","2026-02-13","","","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","","","","2025-12-05","2026-02-13","","","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","","",""
"1430001012157","中電設工業株式会社","ナカデンセツコウギョウ","","","","北海道北広島市大曲幸町１丁目３番地１２","0611278","北海道","01","北広島市","234","大曲幸町１丁目３番地１２","301","01","1","","","","","","","","","","","","","","2021-11-25","1430001012157","政府連携データ","","","","","","","","","","","","","法人番号公表サイト","","","","","","","","","","","","","日次","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","",""
"1430001012264","南清電工株式会社","","","2025-01-24","21","北海道札幌市清田区清田四条３丁目７番５号","0040844","北海道","01","札幌市清田区","110","清田四条３丁目７番５号","301","21","0","閉鎖","","","","","","","","","","","","","2025-01-27","1430001012264","政府連携データ","","","","","","","","","","","","","法人番号公表サイト","","","","","","","","","","","","","日次","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","",""
"1430001012355","ニイチニ電設株式会社","ニイチニデンセツ","","","","北海道札幌市中央区南四条西１３丁目１番８号","0640804","北海道","01","札幌市中央区","101","南四条西１３丁目１番８号","301","01","1","","代表取締役社長　石井　満","","","","","","","","","1980-10-08","||D|","315","2018-06-12","1430001012355","政府連携データ","政府連携データ","","","","","","","","","政府連携データ","政府連携データ","政府連携データ","法人番号公表サイト","GEPS","","","","","","","","","GEPS","GEPS","GEPS","日次","日次","","","","","","","","","日次","日次","日次","2025-12-05","2026-03-12","","","","","","","","","2026-03-12","2026-03-12","2026-03-12","2025-12-05","2026-03-12","","","","","","","","","2026-03-12","2026-03-12","2026-03-12"
"1430001012669","株式会社日西電工","ニッセイデンコウ","","","","北海道札幌市西区西野三条９丁目１番１号","0630033","北海道","01","札幌市西区","107","西野三条９丁目１番１号","301","01","1","","","","","","","","","","","","","","2021-09-03","1430001012669","政府連携データ","","","","","","","","","","","","","法人番号公表サイト","","","","","","","","","","","","","日次","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","",""
"1430001013510","インフォテクノ株式会社","インフォテクノ","","","","北海道札幌市中央区大通西１６丁目１番地１０","0600042","北海道","01","札幌市中央区","101","大通西１６丁目１番地１０","301","01","1","","","","87","","","","","","G:情報通信業","","","","2018-05-31","1430001013510","政府連携データ","政府連携データ","","","政府連携データ","政府連携データ","政府連携データ","政府連携データ","政府連携データ","政府連携データ","","","","法人番号公表サイト","職場情報総合サイト","","","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","","","","日次","日次","","","日次","日次","日次","日次","日次","日次","","","","2025-12-05","2026-02-13","","","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","","","","2025-12-05","2026-02-13","","","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","","",""
"1430001013849","東日本電気工事株式会社","ヒガシニホンデンキコウジ","","","","北海道札幌市白石区東札幌二条６丁目４番１５号東札幌藤井ビル６０１号室","0030002","北海道","01","札幌市白石区","104","東札幌二条６丁目４番１５号東札幌藤井ビル６０１号室","301","01","1","","","","","","","","","","","","","","2021-02-04","1430001013849","政府連携データ","","","","","","","","","","","","","法人番号公表サイト","","","","","","","","","","","","","日次","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","",""
"1430001014442","豊栄通信株式会社","","","","","北海道札幌市清田区清田八条２丁目１６番３号","0040848","北海道","01","札幌市清田区","110","清田八条２丁目１６番３号","301","01","0","","","","","","","","","","","","","","2015-10-30","1430001014442","政府連携データ","","","","","","","","","","","","","法人番号公表サイト","","","","","","","","","","","","","日次","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","",""
"1430001014640","株式会社北栄設備工業","","","","","北海道札幌市東区北三十四条東１丁目３番３１号","0070834","北海道","01","札幌市東区","103","北三十四条東１丁目３番３１号","301","01","0","","","","","","","","","","","","","","2015-10-30","1430001014640","政府連携データ","","","","","","","","","","","","","法人番号公表サイト","","","","","","","","","","","","","日次","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","",""
"1430001014665","北栄電設工業株式会社","ホクエイデンセツコウギョウ","","","","北海道札幌市東区北二十条東６丁目１番３１号","0650020","北海道","01","札幌市東区","103","北二十条東６丁目１番３１号","301","01","1","","","","9","","","電気設備業","","","D:建設業","","","","2019-06-04","1430001014665","政府連携データ","政府連携データ","","","政府連携データ","政府連携データ","政府連携データ","政府連携データ","政府連携データ","政府連携データ","","","","法人番号公表サイト","職場情報総合サイト","","","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","","","","日次","日次","","","日次","日次","日次","日次","日次","日次","","","","2025-12-05","2026-02-13","","","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","","","","2025-12-05","2026-02-13","","","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","","",""
"1430001014789","北盛電設株式会社","ホクセイデンセツ","","","","北海道札幌市中央区北七条西２０丁目１番１５号","0600007","北海道","01","札幌市中央区","101","北七条西２０丁目１番１５号","301","01","1","","代表取締役社長　稲津　亘","","53","50","3","建設業（電気設備工事）","http://www.hokusei-ds.co.jp","","D:建設業","1952-02-27","|C|C|","216|217|229|306|308|309|315","2019-04-03","1430001014789","政府連携データ","政府連携データ","","","政府連携データ","政府連携データ","政府連携データ","政府連携データ","政府連携データ","政府連携データ","政府連携データ","政府連携データ","政府連携データ","法人番号公表サイト","職場情報総合サイト","","","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","GEPS","GEPS","GEPS","日次","日次","","","日次","日次","日次","日次","日次","日次","日次","日次","日次","2025-12-05","2026-02-13","","","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-03-12","2026-03-12","2026-03-12","2025-12-05","2026-02-13","","","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-03-12","2026-03-12","2026-03-12"
"1430001014938","株式会社北東設備","ホクトウセツビ","","","","北海道札幌市東区東苗穂三条３丁目１番９２号","0070803","北海道","01","札幌市東区","103","東苗穂三条３丁目１番９２号","301","01","1","","","","","","","","","","","","","","2019-07-12","1430001014938","政府連携データ","","","","","","","","","","","","","法人番号公表サイト","","","","","","","","","","","","","日次","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","",""
"1430001015036","北都電設工業株式会社","ホクトデンセツコウギョウ","","","","北海道札幌市白石区平和通１６丁目北５番１４号","0030029","北海道","01","札幌市白石区","104","平和通１６丁目北５番１４号","301","12","0","","","","","","","","","","","","","","2023-01-20","1430001015036","政府連携データ","","","","","","","","","","","","","法人番号公表サイト","","","","","","","","","","","","","日次","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","",""
"1430001016389","株式会社みずの住宅設備","ミズノジュウタクセツビ","","","","北海道札幌市豊平区豊平三条７丁目２番１１号","0620903","北海道","01","札幌市豊平区","105","豊平三条７丁目２番１１号","301","01","1","","","","","","","","","","","","","","2024-07-29","1430001016389","政府連携データ","","","","","","","","","","","","","法人番号公表サイト","","","","","","","","","","","","","日次","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","",""
"1430001016546","株式会社南設備工業","ミナミセツビコウギョウ","","","","北海道札幌市中央区北三条西２４丁目１番２３号","0640823","北海道","01","札幌市中央区","101","北三条西２４丁目１番２３号","301","01","1","","","","","","","","","","","","","","2020-08-20","1430001016546","政府連携データ","","","","","","","","","","","","","法人番号公表サイト","","","","","","","","","","","","","日次","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","",""
"1430001017619","株式会社雄光電設","ユウコウデンセツ","","","","北海道札幌市北区北二十九条西１３丁目２番２４号","0010029","北海道","01","札幌市北区","102","北二十九条西１３丁目２番２４号","301","01","1","","","","","","","","","","","","","","2018-10-17","1430001017619","政府連携データ","","","","","","","","","","","","","法人番号公表サイト","","","","","","","","","","","","","日次","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","",""
"1430001019334","サン電気工事株式会社","","","","","北海道札幌市中央区大通西８丁目２番地３８","0600042","北海道","01","札幌市中央区","101","大通西８丁目２番地３８","301","01","0","","","","","","","","","","","","","","2015-10-30","1430001019334","政府連携データ","","","","","","","","","","","","","法人番号公表サイト","","","","","","","","","","","","","日次","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","",""
"1430001020127","株式会社札幌電工","サッポロデンコウ","","","","北海道札幌市白石区川北２２９１番地","0030859","北海道","01","札幌市白石区","104","川北２２９１番地","301","01","1","","","","","","","","","","","","","","2018-07-06","1430001020127","政府連携データ","","","","","","","","","","","","","法人番号公表サイト","","","","","","","","","","","","","日次","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","",""
